No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,CAPACIDAD DE USUARIOS PERMITIDOS,UBICACIÓN,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS
16,413,UNE,RISARALDA,PEREIRA,CAIMALITO,GABRIEL TRUJILLO - EL AZUFRAL,CAIMALITO,1,500,(4.884712 -75.891133),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
17,513,UNE,RISARALDA,PEREIRA,CAIMALITO,LA CARBONERA,COLEGIO LA CARBONERA,2,"1,000",(4.880096 -75.862075),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
18,513,UNE,RISARALDA,PEREIRA,CENTRO,BUENOS AIRES,PARQUE BUENOS AIRES,2,"1,000",(4.813760 -75.708439),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
19,513,UNE,RISARALDA,PEREIRA,CENTRO,CALLE 19 CARRERA 10 FUNDACIÓN,CLL 19 KRA 10 FUNDACION,2,"1,000",(4.812171 -75.694490),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
20,513,UNE,RISARALDA,PEREIRA,CENTRO,CALLE 20 CARRERA 6A,ESTACION MEGABUS CLL 20 KRA 6,1,500,(4.815620 -75.694950),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
21,513,UNE,RISARALDA,PEREIRA,CENTRO,CLL 17 KRA 8,CLL 17 KRA 8,1,500,(4.813606 -75.692333),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
22,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE EL LAGO,PARQUE EL LAGO,2,"1,000",(4.814917 -75.699289),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
23,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE GAITAN,PARQUE GAITAN,2,"1,000",(4.817657 -75.699281),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
24,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE LA LIBERTAD,PARQUE LA LIBERTAD,2,"1,000",(4.813293 -75.689617),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
25,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE OLAYA HERRERA,PARQUE OLAYA,2,"1,000",(4.809850 -75.697109),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
26,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA CIVICA,PLAZA CIVICA CIUDAD VICTORIA,2,"1,000",(4.811849 -75.692774),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
27,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE BOLIVAR,PLAZA DE BOLIVAR,2,"1,000",(4.814707 -75.694415),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
28,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE MERCADO LA 29,PLAZA DE MERCADO LA 29,2,"1,000",(4.815266 -75.702641),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
29,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE MERCADO LA 40,PLAZA DE MERCADO LA 40,2,1000,(4.814322 -75.713192),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
30,513,UNE,RISARALDA,PEREIRA,CERRITOS,ESPERANZA-GALICIA,ESCUELA ESPERANZA GALICIA,2,1000,(4.798473 -75.814389),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
31,513,UNE,RISARALDA,PEREIRA,CERRITOS,GALICIA,GALICIA CANCHA,2,1000,(4.811648 -75.796280),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
32,513,UNE,RISARALDA,PEREIRA,CERRITOS,UKUMARI,PARQUE UKUMARI,2,1000,(4.802063 -75.810647),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
33,789,UNE,RISARALDA,PEREIRA,CERRITOS,VEREDA CAMPO HERMOSO,CAMPO HERMOSO,1,500,(4.803472-75.831056),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
34,789,UNE,RISARALDA,PEREIRA,CERRITOS,ESTACIÓN  VILLEGAS,ESTACIÓN  VILLEGAS,1,500,(4.797472-75.826472),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
35,789,UNE,RISARALDA,PEREIRA,CERRITOS,LAS COLINAS,LAS COLINAS,1,500,(4.797806-75.820194),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
36,413,UNE,RISARALDA,PEREIRA,COMBIA ALTA,COMBIA ALTA,ALTO ERAZO,1,500,(4.844776 -75.730278),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
37,789,UNE,RISARALDA,PEREIRA,COMBIA ALTA,COMBIA ALTA,GUILLERMO HOYOS,2,1000,(4.883055-75.725417),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
38,513,UNE,RISARALDA,PEREIRA,COMBIA BAJA,CRUCERO DE COMBIA,CRUCERO DE COMBIA,2,1000,(4.831296 -75.757543),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
39,789,UNE,RISARALDA,PEREIRA,COMBIA BAJA,COMBIA BAJA,LA HONDA,1,500,(4.875356-75.788232),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
40,789,UNE,RISARALDA,PEREIRA,COMBIA BAJA,COMBIA BAJA,SAN MARINO,1,500,(4.842515-75.784882),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
41,513,UNE,RISARALDA,PEREIRA,CONSOTA,BARRIO NARANJO,BARRIO NARANJITO,2,1000,(4.797432 -75.722132),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
42,513,UNE,RISARALDA,PEREIRA,CONSOTA,CANCHA EL NARANJITO,CRA. 44 #67A-29 A 67A-1,2,1000,(4.798829 -75.723218),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
43,513,UNE,RISARALDA,PEREIRA,CONSOTA,EL DORADO,CANCHAS DEL DORADO,2,1000,(4.801667 -75.719233),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
44,413,UNE,RISARALDA,PEREIRA,CONSOTA,EL ROSAL - AV LAS AMERICAS CON CALLE 50,EL ROSAL - AV LAS AMERICAS CON CALLE 50,1,500,(4.808932 -75.724711),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
45,513,UNE,RISARALDA,PEREIRA,CONSOTA,MIRAFLORES,PARQUEADERO DE MIRAFLORES,2,1000,(4.794234 -75.716890),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
46,513,UNE,RISARALDA,PEREIRA,CONSOTA,PADRE VALENCIA (VILLA CONSOTA),CAI DEL PADRE VALENCIA,2,1000,(4.802058 -75.725130),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
47,513,UNE,RISARALDA,PEREIRA,CONSOTA,VILLA VERDE,PARQUE VILLAVERDE,2,1000,(4.792014 -75.711327),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
48,513,UNE,RISARALDA,PEREIRA,CUBA,COLEGIO JESUS MARIA ORMAZA,COLEGIO ORMAZA,2,1000,(4.803911 -75.743980),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
49,513,UNE,RISARALDA,PEREIRA,CUBA,CUBA,ZONA COMERCIAL CUBA,2,1000,(4.804769 -75.739850),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
50,513,UNE,RISARALDA,PEREIRA,CUBA,PARQUE GUADALUPE ZAPATA,PARQUE GUADALUPE ZAPATA,2,1000,(4.804773 -75.739304),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
51,513,UNE,RISARALDA,PEREIRA,CUBA,RAFAEL URIBE I,PARQUE URIBE 1,2,1000,(4.802677 -75.739736),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
52,3829,UNE,RISARALDA,PEREIRA,CUBA,CUBA,CALLE 70 CARRERA 36 A LA 38 (ZONA COMERCIAL COMENERO),2,1000,(4.803968-75.731275),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
53,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,CIUDAD BOQUIA,CANCHAS DE BOQUIA CALLE 62,2,1000,(4.822955 -75.730566),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
54,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,MALAGA,PARQUE MALAGA,2,1000,(4.826720 -75.728645),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
55,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,SECTOR A,PARQUE LA GRAN MANZANA,2,1000,(4.823555 -75.726729),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
56,513,UNE,RISARALDA,PEREIRA,DEL CAFÉ,SECTOR B,CANCHA SECTOR B PARQUE INDUSTRIAL,2,1000,(4.822482 -75.725228),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
57,3829,UNE,RISARALDA,PEREIRA,DEL CAFÉ,LLANO GRANDE,LLANO GRANDE,2,1000,(4.824917-75.733944),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
58,513,UNE,RISARALDA,PEREIRA,DEL RIO,BARRIO AMERICA,PARQUE BARRIO AMERICA,2,1000,(4.818774 -75.689647),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
59,513,UNE,RISARALDA,PEREIRA,DEL RIO,COLINAS DEL TRIUNFO,CANCHAS COLINAS DEL TRIUNFO,2,1000,(4.818037 -75.716098),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
60,513,UNE,RISARALDA,PEREIRA,DEL RIO,GUALANDAY,CANCHA CLL 26 KRA1 BIS GUALANDAY,2,1000,(4.820417 -75.699556),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
61,513,UNE,RISARALDA,PEREIRA,DEL RIO,JOSE ANTONIO GALAN,PARQUE BARRIO GALAN,2,1000,(4.820178 -75.704857),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
62,513,UNE,RISARALDA,PEREIRA,DEL RIO,SAN CAMILO,SAN CAMILO,2,1000,(4.729737 -75.734242),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
63,513,UNE,RISARALDA,PEREIRA,DEL RIO,SANTA ELENA,CRA 1 # 39B BARRIO SANTA ELENA,2,1000,(4.819447 -75.711741),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
64,513,UNE,RISARALDA,PEREIRA,DEL RIO,ZEA,BARRIO ZEA CANCHA 17 AV DEL RIO,2,1000,(4.819638 -75.691942),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
65,789,UNE,RISARALDA,PEREIRA,EL OSO,PARQUE ACUARIO,PARQUE EL ACUARIO,2,1000,(4.800146-75.735309),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
